Name,Brand,Display Size,Display Resolution,Camera Resolution,color,Operating System,Width,Weight
BBK Vivo Y16 (2022),BBK,165.3,720x1600,13.0,Drizzling Gold,Google Android,75.55,184.0
BBK Vivo Y21G (2022),BBK,165.5,720x1600,13.0,Diamond Glow,Google Android,76.08,182.0
BBK Vivo Y22 (2022),BBK,166.3,720x1612,50.1, Starlite Blue,Google Android,76.1,190.0
BBK Vivo Y30 5G (2022),BBK,165.3,720x1600,50.1,Starlight Black & Rainbow Fantasy,Google Android,75.84,193.0
BBK vivo Y32t (2022),BBK,165.35,720x1600,13.0,Mirror Black,Google Android,75.2,179.0
BBK Vivo Y33e 5G,BBK,165.4,720x1600,13.0,Black,Google Android,75.8,198.0
BBK Vivo Y52 5G (2022),BBK,167.1,1080x2408,48.0,Black,Google Android,75.3,193.0
BBK Vivo Y52t 5G (2022),BBK,165.4,720x1600,13.0,Black,Google Android,75.84,198.0
BBK Vivo Y53t 5G (2023),BBK,165.4,720x1600,13.0,Orange Fruit and Black Truffle,Google Android,75.6,186.0
BBK Vivo Y55 (2022),BBK,167.1,1080x2408,50.3,Black,Google Android,75.84,187.0
BBK Vivo Y55 (2022) Premium Edition,BBK,167.1,1080x2408,50.3,Black,Google Android,75.84,187.0
BBK Vivo Y56 5G (2023),BBK,167.2,1080x2408,50.1,Orange Shimmer,Google Android,75.6,184.0
BBK Vivo Y77e 5G (2022) Premium Edition,BBK,167.2,1080x2408,13.0,Black,Google Android,75.84,194.0
Fujitsu Arrows BZ03,Fujitsu,144.0,720x1520,13.0,Black,Google Android,71.0,172.0
Fujitsu Raku-Raku Easy Smartphone,Fujitsu,127.0,1080x1980,13.0,Gold,Google Android,70.0,153.0
Google Pixel 6a,Google,156.0,1080x2400,12.2,Chalk,Google Android,71.8,178.0
Google Pixel 7 5G,Google,160.5,1080x2400,50.1,Obsidian,Google Android,73.2,197.0
Google Pixel 7 5G UW,Google,160.5,1080x2400,50.1,Obsidian,Google Android,73.2,197.0
Huawei Honor 60 SE,Huawei,169.4,1080x2400,63.7,Black,Google Android,73.4,175.0
Huawei Honor 60 SE Premium Edition,Huawei,169.4,1080x2400,63.7,Black,Google Android,73.4,175.0
Huawei Honor 70,Huawei,169.4,1080x2400,53.9,Midnight Black,Google Android,73.3,178.0
Huawei Honor 70 Premium Edition,Huawei,169.4,1080x2400,53.9,Midnight Black,Google Android,73.3,178.0
Huawei Honor 70 Pro,Huawei,172.2,1200x2652,53.9,Black,Google Android,74.6,192.0
Huawei Honor 70 Pro Premium Edition,Huawei,172.2,1200x2652,53.9,Black,Google Android,74.6,192.0
Huawei Honor Play 30 / Changwan30,Huawei,165.0,720x1600,13.0,Black,Google Android,75.13,194.0
Huawei Honor Play 30 / Changwan30 Premium Edition,Huawei,165.0,720x1600,13.0,Black,Google Android,75.13,194.0
Huawei Honor Play 6T,Huawei,171.2,720x1600,13.0,Black,Google Android,77.19,198.0
Huawei Honor Play 6T Pro,Huawei,170.0,1080x2388,48.0,Black,Google Android,74.7,175.0
Huawei Honor X40i,Huawei,170.0,1080x2388,50.3,Black,Google Android,74.5,175.0
Huawei Honor X40i Premium Edition,Huawei,170.0,1080x2388,50.3,Black,Google Android,74.5,175.0
Huawei Honor X9 4G / Magic 4 Lite 4G,Huawei,172.97,1080x2388,63.7,Titanium Silver,Google Android,75.78,189.0
